iter	Passed	Remaining
436	1508	1942
437	1512	1940
438	1516	1938
439	1520	1935
440	1523	1931
441	1527	1928
442	1531	1925
443	1534	1921
444	1537	1918
445	1541	1914
446	1545	1911
447	1548	1908
448	1552	1904
449	1555	1901
450	1559	1898
451	1563	1895
452	1566	1892
453	1570	1888
454	1573	1885
455	1578	1882
456	1582	1879
457	1586	1877
458	1590	1874
459	1594	1872
460	1598	1869
461	1603	1866
462	1606	1863
463	1610	1860
464	1614	1857
465	1617	1854
466	1621	1850
467	1625	1848
468	1629	1844
469	1632	1840
470	1635	1837
471	1640	1834
472	1643	1831
473	1646	1827
474	1650	1824
475	1654	1820
476	1658	1818
477	1662	1815
478	1665	1811
479	1668	1808
480	1673	1806
481	1679	1804
482	1683	1802
483	1687	1799
484	1691	1796
485	1695	1792
486	1698	1789
487	1702	1786
488	1706	1783
489	1710	1780
490	1714	1776
491	1718	1774
492	1722	1771
493	1725	1767
494	1729	1764
495	1734	1761
496	1737	1758
497	1741	1755
498	1745	1752
499	1749	1749
500	1753	1746
501	1756	1742
502	1760	1739
503	1764	1736
504	1768	1733
505	1771	1729
506	1775	1726
507	1778	1722
508	1782	1719
509	1786	1716
510	1789	1712
511	1793	1709
512	1797	1706
513	1801	1703
514	1804	1699
515	1808	1696
516	1812	1693
517	1815	1689
518	1819	1685
519	1823	1682
520	1826	1679
521	1829	1675
522	1833	1671
523	1836	1668
524	1840	1665
525	1844	1661
526	1847	1658
527	1850	1654
528	1855	1651
529	1858	1648
530	1861	1644
531	1865	1640
532	1868	1637
533	1872	1633
534	1875	1630
535	1879	1627
536	1883	1623
537	1886	1620
538	1890	1616
539	1893	1613
540	1896	1609
541	1901	1606
542	1904	1603
543	1908	1599
544	1912	1596
545	1916	1593
546	1920	1590
547	1923	1586
548	1926	1582
549	1930	1579
550	1935	1576
551	1939	1573
552	1942	1570
553	1946	1567
554	1950	1563
555	1954	1560
556	1957	1556
557	1961	1553
558	1964	1550
559	1968	1546
560	1971	1542
561	1974	1539
562	1978	1535
563	1981	1531
564	1984	1528
565	1987	1524
566	1990	1520
567	1994	1516
568	1997	1513
569	2001	1509
570	2004	1505
571	2007	1501
572	2010	1498
573	2013	1494
574	2016	1490
575	2019	1486
576	2022	1482
577	2025	1479
578	2029	1475
579	2032	1471
580	2035	1467
581	2038	1463
582	2041	1459
583	2044	1456
584	2047	1452
585	2050	1448
586	2053	1444
587	2057	1441
588	2060	1437
589	2063	1433
590	2066	1430
591	2069	1426
592	2072	1422
593	2076	1419
594	2079	1415
595	2082	1411
596	2085	1407
597	2089	1404
598	2092	1400
599	2095	1396
600	2098	1393
601	2101	1389
602	2105	1386
603	2109	1382
604	2112	1379
605	2115	1375
606	2119	1371
607	2122	1368
608	2126	1365
609	2129	1361
610	2132	1357
611	2136	1354
612	2139	1350
613	2142	1347
614	2146	1343
615	2149	1339
616	2152	1336
617	2156	1332
618	2159	1329
